IDCliente,Estado Civil,Género,Hijos,Hijos en casa,Educación,Ocupación,Casa,Coches,Distancia,Región,Comprador,Edad,Ingresos
11000,C,M,2,0,Bachiller,Profesional,1,0,1-2 KM,Pacífico,1,43,90000
11001,S,M,3,3,Bachiller,Profesional,0,1,0-1 KM,Pacífico,1,39,60000
11002,C,M,3,3,Bachiller,Profesional,1,1,2-5 KM,Pacífico,1,44,60000
11003,S,F,0,0,Bachiller,Profesional,0,1,5-10 KM,Pacífico,1,42,70000
11004,S,F,5,5,Bachiller,Profesional,1,4,1-2 KM,Pacífico,1,36,80000
11005,S,M,0,0,Bachiller,Profesional,1,1,5-10 KM,Pacífico,1,39,70000
11006,S,F,0,0,Bachiller,Profesional,1,1,5-10 KM,Pacífico,1,38,70000
11007,C,M,3,3,Bachiller,Profesional,1,2,0-1 KM,Pacífico,1,45,60000
11008,S,F,4,4,Bachiller,Profesional,1,3,10+ KM,Pacífico,1,40,60000
11009,S,M,0,0,Bachiller,Profesional,0,1,5-10 KM,Pacífico,1,45,70000
11010,S,F,0,0,Bachiller,Profesional,0,1,5-10 KM,Pacífico,1,46,70000
11011,C,M,4,4,Bachiller,Profesional,1,4,10+ KM,Pacífico,1,46,60000
11012,C,F,2,0,Bachiller,Administrativo,1,2,1-2 KM,Norte América,0,36,100000
11013,C,M,2,0,Bachiller,Administrativo,1,3,0-1 KM,Norte América,0,36,100000
11014,S,F,3,0,Bachiller,Administrativo,0,3,1-2 KM,Norte América,0,41,100000
11015,S,F,0,0,ESO,Obrero,0,1,5-10 KM,Norte América,1,31,30000
11016,C,M,0,0,ESO,Obrero,1,1,5-10 KM,Norte América,1,30,30000
11017,S,F,4,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,65,20000
11018,S,M,2,0,ESO,Religión,1,2,5-10 KM,Pacífico,1,59,30000
11019,S,M,0,0,Formación Profesional,Obrero,0,2,5-10 KM,Norte América,0,32,40000
11020,S,M,0,0,Formación Profesional,Obrero,0,2,1-2 KM,Norte América,1,31,40000
11021,S,F,0,0,ESO,Obrero,0,1,1-2 KM,Norte América,1,31,40000
11022,C,M,0,0,ESO,Obrero,1,1,5-10 KM,Norte América,1,31,40000
11023,C,M,0,0,ESO,Obrero,1,1,1-2 KM,Norte América,0,31,40000
11024,C,M,0,0,ESO,Obrero,1,2,5-10 KM,Norte América,0,31,60000
11025,C,M,2,1,FP en curso,Religión,1,2,1-2 KM,Pacífico,1,64,10000
11026,S,M,2,0,ESO,Religión,0,2,1-2 KM,Pacífico,1,63,30000
11027,C,M,2,0,ESO,Religión,1,2,5-10 KM,Pacífico,1,63,30000
11028,C,F,2,0,ESO,Religión,1,2,1-2 KM,Pacífico,1,63,30000
11029,C,M,2,0,ESO,Religión,1,2,1-2 KM,Pacífico,1,63,30000
11030,C,F,2,1,FP en curso,Religión,1,2,1-2 KM,Pacífico,1,57,10000
11031,C,F,4,0,Formación Profesional,Obrero,1,2,1-2 KM,Pacífico,1,62,20000
